German,English
hörst,hear
Bombe,bomb
Herrn,Mr
Halten,Hold
gelassen,calmly
Tante,aunt
angefangen,started
Hals,neck
vorne,ahead
Bullen,cops
Bank,Bank
Weise,wise
verantwortlich,responsible
öffnen,to open
schwierig,difficult
seh,seh
bleibe,stay
rechts,right
Operation,surgery
Sollen,Should
Anwalt,lawyer
verspreche,promise
bleibst,stay
Glückwunsch,congratulation
entfernt,away
brachte,brought
zerstören,to destroy
Wahrscheinlich,Probably
Lied,song
gespielt,played
aussieht,looks
Tun,To do
Lust,lust
Vaters,father
Uh,Uh
Bilder,images
uh,uh
Feind,enemy
Händen,hands
Ball,ball
stecken,stick
Sobald,As soon as
Reden,Talk
geholfen,helped
gleichen,equal
gehören,belong
wach,awake
genannt,called
zahlen,numbers
nahe,Near
Aufnahme,admission
Achtung,Danger
gleiche,same
Viele,Lots
Mission,mission
bekomme,get
laut,according to
Schmerz,pain
Ehrlich,Honest
Schlag,blow
Jawohl,Yes sir
Fleisch,flesh
legen,lay
möchtest,want
Verstehst,understand
Wozu,What for
Weihnachten,Christmas
Erinnerst,remember
Zieh,pull
Schwierigkeiten,trouble
Park,park
Durch,By
Bleiben,Stay
wussten,knew
meint,means
Gesellschaft,society
gebeten,asked
erhalten,receive
bedeuten,mean
Kennst,know Greek
verstecken,hide
Respekt,respect
dasselbe,the same thing
Gehirn,brain
entschieden,decided
zieht,attracts
liebst,love
dachten,thought
Witze,joking
na,n / A
sorgen,to care
All,Alles
Volk,people
Rat,advice
lebe,live
Präsidenten,President
Schuhe,Shoes
Monster,monster
dauern,last
Beweise,proofs
Hälfte,half
schauen,watch
Kirche,church
Eines,One
Hintern,butt
Spur,track
Lehrer,Teacher
Gold,gold
Denken,Think
lieb,dear
wunderbar,wonderful
Güte,quality
geliebt,loved
fahre,ride
Loch,hole
geschlagen,beaten
ganzes,whole
wunderschön,beautiful
lachen,laugh
beweisen,to prove
Zeig,show
Kleiner,Smaller
gegenüber,across from
Bus,bus
großes,great
Verstand,understanding
trägt,wearing
herausfinden,find out
gewartet,waited
niemandem,no one
Gegend,area
Bevor,Before
schönen,beautiful
seltsam,strange
bewegt,emotional
Haut,skin
Fotos,photos
nah,close
Angriff,attack
Erzähl,Tell
interessant,Interesting
Schlaf,sleep
Wind,wind
Messer,knife
lag,was
fürchte,fear
beginnt,starts
Weiter,Continue
überrascht,surprised
Stell,parking
gefangen,captured
bleib,permanent
Bein,leg
Eier,eggs
singen,to sing
seht,look
Überraschung,surprise
Dorf,Village
besorgen,to get
Fünf,five
Einfach,Easy
geändert,changed
beginnen,begin
echte,real
Pferd,horse
Held,hero
Taxi,taxi
Freunden,friends
mitnehmen,take
Gruppe,group
Sorry,Sorry
besorgt,concerned
System,system
Gleich,Equal
Würde,Would
ruft,calls
Fahren,Drive
Steh,standing
nimmst,take
Obwohl,Even though
Bringt,bring
falschen,false
leisten,Afford
schwanger,pregnant
Fahr,driving
Adresse,address
gemeinsam,together
entkommen,escape
übel,evil
vermisst,missing
Lady,lady
Küche,kitchen
Flug,flight
Besuch,visit
hängt,hangs
werfen,throw
falsche,false
Sogar,Even
Ring,ring
Verschwinde,Get lost
überleben,to survive
Gesetz,law
Tor,goal
Wald,Forest
ungefähr,approximately
Patienten,patients
Maschine,machine
Könnten,could
junge,Boy
Fräulein,young lady
gehts,you go
Ehe,marriage
Würden,would
Schauspieler,actor
Dach,"top, roof"
Übersetzung,translation
kannte,knew
Bringen,bring
wir's,we s
drinnen,indoors
Wisst,know
Während,While
Tat,did
Suche,search
Letzte,Latest
blöd,stupid
Blumen,flowers
Setzen,Put
Freiheit,freedom
seines,his
Ecke,corner
Wäre,Would
Knast,slammer
Karten,cards
pro,Per
Leg,Leg
helfe,help
oh,Oh
Wein,Wine
wette,bet
Vergnügen,pleasure
Uns,Us
Unterschied,difference
Lieber,Dear
Verbrechen,crime
gibst,give
Vertrauen,trust
gesund,healthy
Deswegen,therefore
zweite,second
Hörst,hear
erkennen,detect
euren,your
weder,neither
Schüler,student
obwohl,even though
bisher,so far
welcher,which one
Mut,courage
davor,before
Bar,bar
wohnen,live
Dem,the
statt,instead of
Pause,Break
Neues,New
Auftrag,assignment
Hoffentlich,Hopefully
Tschüss,bye
Wand,wall
schreit,screams
Männern,men
spreche,speak
kostet,costs
Zuerst,First
Erfolg,success
Wofür,For what
Möchtest,want
Meinen,Say
teilen,divide
erschossen,shot
entlang,along
Eis,ice
nem,nEM
Amerikaner,American
Abendessen,dinner
Mistkerl,dirty swine
übernehmen,take
Irgendwas,Anything
danken,to thank
irgendwann,Sometime
gebaut,built
schützen,protect
beenden,break up
Super,great
Polizist,police officer
gefahren,hazards
Bericht,report
wovon,About what
Test,test
Monsieur,Monsieur
Arme,poor
wüsste,know
Majestät,majesty
Fertig,Finished
versteht,understood
trifft,meets
Meer,sea
Hut,cap
zuvor,before
lief,ran
Haltet,keep
Zeitung,newspaper
Mami,mommy
schuldig,guilty
bauen,to build
Freude,joy
zufrieden,satisfied
Zuhause,At home
versuchte,tried
Drink,drink
Niemals,No way
sprach,spoke
indem,by doing
gemeint,meant
fühlst,feel
deren,their
Quatsch,nonsense
Kugel,Bullet
Klingt,sounds
hielt,held
Gericht,dish
furchtbar,awful
Würdest,would
Wirst,will
verpasst,lost
Ohren,ears
Rose,rose
neuer,new
fanden,found
Haufen,heap
Drehbuch,script
Gutes,good
Schätzchen,baby
Deal,deal
Ma'am,ma'am
Haar,hair
stehe,am
fassen,take
Ehemann,husband
funktionieren,function
fragte,asked
verhaftet,arrested
drüber,about it
Sergeant,sergeant
stimmt's,right
Verantwortung,responsibility
Major,major
Bücher,Books
kümmere,take care
ähnlich,similar
unterhalten,to chat
Stein,stone
kümmert,takes care
nächstes,next
gewusst,know
Beim,At the
schöner,more beautiful
aufpassen,watch out
Unglaublich,Incredible
Katze,cat
geschieht,happens
Brüder,brothers
mitgebracht,brought
unseres,our
Verstehe,Understand
Lord,lord
letztes,last
dessen,whose
Vier,Four
mitten,in the middle
erinnert,remind
Wahnsinn,madness
vorhin,earlier
Neuigkeiten,news
setzt,puts
Einige,Some
zufällig,coincidentally
Kleid,dress
Jedenfalls,In any case
Angebot,offer
erklärt,explained
stellt,provides
Kommst,Will
Zur,to
Serie,series
melden,Report
Brücke,bridge
Erinnerungen,memories
gestellt,posed
Sagt,says
Schmerzen,Pain
besteht,consists
hallo,Hi
offensichtlich,obviously
Fisch,fish
hängen,hang
Gelegenheit,opportunity
Endlich,Finally
Möchten,Want
konntest,could
bekommst,get
Idioten,idiots
Virus,virus
größte,greatest
gingen,went
Strand,Beach
geplant,planned
betrunken,drunk
fängt,catches
keinem,any
bringst,bring
Süße,Sweet
irgendwelche,any
Thema,theme
Stellen,Put
machten,made
diesmal,this time
Guck,Look
Figur,figure
Weisst,know
ne,ne
brechen,break
lacht,laughs
Gar,At all
Paar,Pair
Druck,print
mitkommen,come along
reich,rich
Nie,Never
Fluss,River
wirkt,acts
Werden,Become
traf,hit
schließlich,in the end
Richtige,right one
Gewalt,violence
gelaufen,ran
Daten,Data
Hunde,dogs
Großvater,grandfather
wahre,real
nachgedacht,thought
Falle,Cases
eigenes,own
Gang,gear
sahen,saw
erreicht,reached
Willen,will
solchen,such a
schlechter,worse
einzigen,single
willkommen,welcome
ermordet,murdered
Tiere,animals
Sollte,Should
ner,ner
längst,a long time ago
Autos,cars
wohnt,lives
krieg,war
fiel,fell
Hose,trousers
leiden,To suffer
Hau,Hau
sprichst,speak
freue,look
Außer,Except
gebrochen,Broken
Baum,tree
gehalten,held
Träume,dreams
Reihe,line
stelle,Job
Medizin,medicine
halb,half
gezeigt,shown
Meilen,miles
Lieutenant,Lieutenant
Wunsch,wish
erster,first
Befehle,commands
Bastard,bastard
rief,cried
Nachdem,After this
Toten,Kill
Frühstück,breakfast
schaffst,manage
ihres,their
hat's,hath
aufgeben,give up
Engel,Angel
verbringen,spend
Terroristen,terrorists
Erfahrung,Experience
brauchte,needed
schätzen,estimate
seien,are
Nehmt,take
Bad,bath
Vogel,bird
Wochenende,weekend
neun,nine
fantastisch,fantastic
Bleibt,Remains
zweiten,second
Unter,Under
verfolgen,follow
schläft,is sleeping
bemerkt,noticed
Marge,margin
Erste,First
erinnerst,remember
Deinen,your
Wichser,wanker
Signal,signal
Wollt,Want
Wieder,Again
schließen,shut down
Pistole,pistol
lächerlich,ridiculous
Filme,Movies
